Nr. crt.,Județ,Număr de cazuri confirmate(total),Număr de cazuri nou confirmate,Incidența  înregistrată la 14 zile
1.,Alba,6110,191,"5,09"
2.,Arad,6500,268,"4,02"
3.,Argeș,8062,243,"2,13"
4.,Bacău,9178,221,"2,14"
5.,Bihor,8175,378,"5,04"
6.,Bistrița-Năsăud,3379,111,"3,13"
7.,Botoșani,3859,102,"2,42"
8.,Brașov,11030,412,"3,53"
9.,Brăila,3719,53,"1,6"
10.,Buzău,4410,149,"1,62"
11.,Caraș-Severin,3005,79,"2,2"
12.,Călărași,1965,28,"1,55"
13.,Cluj,11740,722,"5,92"
14.,Constanța,7117,257,"2,69"
15.,Covasna,2516,48,"3,1"
16.,Dâmbovița,7427,172,"2,82"
17.,Dolj,7862,226,"3,38"
18.,Galați,6886,116,"1,61"
19.,Giurgiu,2171,50,"1,75"
20.,Gorj,3274,57,"1,71"
21.,Harghita,3480,91,"2,74"
22.,Hunedoara,4977,196,"2,62"
23.,Ialomița,2487,53,"2,02"
24.,Iași,12363,307,"2,23"
25.,Ilfov,7357,317,"2,63"
26.,Maramureș,5523,290,"3,37"
27.,Mehedinți,2426,68,"1,64"
28.,Mureș,6576,248,"3,97"
29.,Neamț,6835,79,"2,27"
30.,Olt,4128,109,"1,44"
31.,Prahova,10972,254,"2,1"
32.,Satu Mare,2363,136,"2,29"
33.,Sălaj,3679,179,"6,01"
34.,Sibiu,6882,416,"4,86"
35.,Suceava,10217,145,"2,0"
36.,Teleorman,3619,66,"2,37"
37.,Timiș,11675,665,"5,76"
38.,Tulcea,1699,47,"1,25"
39.,Vaslui,5541,95,"1,92"
40.,Vâlcea,5839,196,"3,18"
41.,Vrancea,3776,90,"1,2"
42.,Mun. București,40877,629,"4,5"
43.,Cazuri noi nealocate pe județe,5386*,1701,
 TOTAL,287.062,10.260,,
