Nr. crt.,Județ,Număr de cazuri confirmate(total),Număr de cazuri nou confirmate,Incidența  înregistrată la 14 zile
1.,Alba,5919,218,"4,96"
2.,Arad,6232,186,"3,91"
3.,Argeș,7819,213,"1,93"
4.,Bacău,8957,183,"2,13"
5.,Bihor,7797,279,"4,77"
6.,Bistrița-Năsăud,3268,176,"3,06"
7.,Botoșani,3757,114,"2,32"
8.,Brașov,10618,323,"2,88"
9.,Brăila,3666,90,"1,51"
10.,Buzău,4261,99,"1,56"
11.,Caraș-Severin,2926,84,"2,12"
12.,Călărași,1937,60,"1,42"
13.,Cluj,11018,534,"5,33"
14.,Constanța,6860,279,"2,53"
15.,Covasna,2468,76,"2,92"
16.,Dâmbovița,7255,183,"2,72"
17.,Dolj,7636,263,"3,32"
18.,Galați,6770,90,"1,59"
19.,Giurgiu,2121,45,"1,78"
20.,Gorj,3217,43,"1,66"
21.,Harghita,3389,81,"2,8"
22.,Hunedoara,4781,153,"2,56"
23.,Ialomița,2434,101,"1,76"
24.,Iași,12056,394,"2,19"
25.,Ilfov,7040,278,"2,25"
26.,Maramureș,5233,170,"3,34"
27.,Mehedinți,2358,29,"1,6"
28.,Mureș,6328,343,"3,86"
29.,Neamț,6756,134,"2,36"
30.,Olt,4019,90,"1,39"
31.,Prahova,10718,396,"1,97"
32.,Satu Mare,2227,156,"2,08"
33.,Sălaj,3500,158,"5,77"
34.,Sibiu,6466,340,"4,43"
35.,Suceava,10072,168,"1,97"
36.,Teleorman,3553,100,"2,38"
37.,Timiș,11010,551,"5,48"
38.,Tulcea,1652,46,"1,03"
39.,Vaslui,5446,108,"1,86"
40.,Vâlcea,5643,267,"3,02"
41.,Vrancea,3686,44,"1,14"
42.,Mun. București,40248,1084,"4,45"
43.,Cazuri noi nealocate pe județe,3685*,985, 
 TOTAL,276.802,9.714, ,
